saddle_point,saddle_value,descent,minimizer,min_value,trajectory_length,is_connected
"(0.8243749921, 0.1662874563)",0.5418590862414819,"(0.824374974723878, 0.34180954573638495)","(0.8243749949, 0.3418094548)",0.21713969484594792,0.1753306217256034,yes
"(0.8243749921, 0.1662874563)",0.5418590862414819,"(0.8243751263054129, 0.034550812170660736)","(0.8243749919, 0.0345508113)",0.35534793077647336,0.1315451764186253,yes
"(0.3418094363, 0.561166524)",0.93666713477614,"(0.3418097007200302, 0.8243750052556937)","(0.3418094523, 0.8243749904)",0.21713969484732798,0.2630135155677378,yes
"(0.3418094363, 0.561166524)",0.93666713477614,"(0.34180955407509656, 0.34180944634190463)","(0.3418094503, 0.3418094503)",0.4342793642365565,0.21916211197003815,yes
"(0.1662874591, 0.341809449)",0.7589987556320551,"(0.34180953846423184, 0.3418095608340873)","(0.3418094503, 0.3418094503)",0.43427936423679386,0.17533061165436278,yes
"(0.1662874591, 0.341809449)",0.7589987556320551,"(0.03455082937366549, 0.34180847665164854)","(0.0345508122, 0.3418094537)",0.5724876001910585,0.13154516202002348,yes
"(0.5611665236, 0.3418094501)",0.936667134776135,"(0.8243749921579686, 0.34180945167995747)","(0.8243749949, 0.3418094548)",0.21713969484570556,0.26301350286982406,yes
"(0.5611665236, 0.3418094501)",0.936667134776135,"(0.3418094504941722, 0.3418094527410097)","(0.3418094503, 0.3418094503)",0.43427936423627844,0.2191621074176832,yes
"(0.5611665232, 0.8243749909)",0.719527465385562,"(0.8243749864428046, 0.8243750042404087)","(0.8243749919, 0.824374992)",2.5455137119934078e-08,0.26301349755460457,yes
"(0.5611665232, 0.8243749909)",0.719527465385562,"(0.34180945807079954, 0.8243750052707735)","(0.3418094523, 0.8243749904)",0.21713969484571147,0.21916209944100065,yes
"(0.1662874588, 0.8243749858)",0.541859086241483,"(0.3418094155003204, 0.8243754818528818)","(0.3418094523, 0.8243749904)",0.21713969485187032,0.17533048899102335,yes
"(0.1662874588, 0.8243749858)",0.541859086241483,"(0.03455081175019349, 0.8243749919477775)","(0.0345508127, 0.8243749927)",0.35534793077601184,0.1315451793398079,yes
"(0.8243749931, 0.5611665231)",0.719527465385562,"(0.8243749798535921, 0.8243749855697465)","(0.8243749919, 0.824374992)",2.5455137233620917e-08,0.26301349678153263,yes
"(0.8243749931, 0.5611665231)",0.719527465385562,"(0.8243749787829444, 0.341809459305573)","(0.8243749949, 0.3418094548)",0.2171396948457119,0.21916209810621332,yes
"(0.0345508112, 0.5611665234)",1.0748753707064413,"(0.03455080586778399, 0.8243749926391921)","(0.0345508127, 0.8243749927)",0.3553479307760126,0.26301350355101977,yes
"(0.0345508112, 0.5611665234)",1.0748753707064413,"(0.03455080746907171, 0.34180944986962836)","(0.0345508122, 0.3418094537)",0.5724876001665851,0.21916210784219917,yes
"(0.3418094496, 0.1662874588)",0.758998755632055,"(0.3418095113098188, 0.3418095431103019)","(0.3418094503, 0.3418094503)",0.4342793642365964,0.17533061660031402,yes
"(0.3418094496, 0.1662874588)",0.758998755632055,"(0.3418089152807786, 0.03455081713041597)","(0.3418094503, 0.0345508113)",0.5724876001739733,0.13154517396067045,yes
"(0.0345508113, 0.1662874587)",0.8972069915623614,"(0.03455081192144329, 0.3418095451191471)","(0.0345508122, 0.3418094537)",0.5724876001668165,0.17533061870911695,yes
"(0.0345508113, 0.1662874587)",0.8972069915623614,"(0.03455080193635587, 0.03455081183895486)","(0.0345508117, 0.0345508107)",0.7106958360968934,0.13154517915101535,yes
"(0.1662874575, 0.0345508114)",0.8972069915623613,"(0.3418095454761636, 0.03455080658235775)","(0.3418094503, 0.0345508113)",0.5724876001668189,0.1753306202657574,yes
"(0.1662874575, 0.0345508114)",0.8972069915623613,"(0.03455081193478661, 0.03455088383030335)","(0.0345508117, 0.0345508107)",0.710695836097032,0.13154517785482706,yes
